id,arxiv_id,title,authors,year,category,keywords,summary
1,1706.03762,Attention Is All You Need,"Vaswani, Shazeer, Parmar, Uszkoreit, Jones, Gomez, Kaiser, Polosukhin",2017,NLP,"transformer, self-attention, sequence modeling, encoder-decoder","Introduces the Transformer, a sequence-to-sequence architecture built entirely from self-attention layers instead of recurrence or convolution. It became the backbone of nearly all modern large language models because it parallelizes training and captures long-range dependencies more efficiently than RNNs."
2,1810.04805,BERT: Pre-training of Deep Bidirectional Transformers for Language Understanding,"Devlin, Chang, Lee, Toutanova",2018,NLP,"pretraining, masked language model, transfer learning, bidirectional","Proposes pretraining a deep bidirectional Transformer using a masked-token prediction objective, then fine-tuning it on downstream tasks. This two-stage recipe set new state-of-the-art results across many language understanding benchmarks and popularized transfer learning in NLP."
3,2005.14165,Language Models are Few-Shot Learners,"Brown, Mann, Ryder, Subbiah, et al.",2020,NLP,"GPT-3, few-shot learning, large language models, in-context learning","Describes GPT-3, a 175-billion-parameter autoregressive language model, and shows that scaling model size lets it perform new tasks from just a few in-context examples without gradient updates, a capability later called in-context learning."
4,1301.3781,Efficient Estimation of Word Representations in Vector Space,"Mikolov, Chen, Corrado, Dean",2013,NLP,"word2vec, embeddings, distributed representations","Presents the word2vec CBOW and skip-gram models for learning dense word embeddings from large text corpora efficiently, showing that the resulting vectors capture meaningful syntactic and semantic relationships through simple vector arithmetic."
5,1409.0473,Neural Machine Translation by Jointly Learning to Align and Translate,"Bahdanau, Cho, Bengio",2014,NLP,"attention mechanism, seq2seq, machine translation","Introduces the additive attention mechanism for encoder-decoder translation models, letting the decoder dynamically focus on relevant source words rather than compressing the whole sentence into one fixed vector, which was the direct precursor to Transformer attention."
6,1802.05365,Deep Contextualized Word Representations,"Peters, Neumann, Iyyer, Gardner, Clark, Lee, Zettlemoyer",2018,NLP,"ELMo, contextual embeddings, bidirectional LSTM","Introduces ELMo, word representations derived from a deep bidirectional LSTM language model, showing that context-dependent embeddings substantially improve performance over static word vectors on multiple NLP tasks."
7,1907.11692,RoBERTa: A Robustly Optimized BERT Pretraining Approach,"Liu, Ott, Goyal, Du, Joshi, Chen, Levy, Lewis, Zettlemoyer, Stoyanov",2019,NLP,"BERT variant, pretraining, hyperparameter tuning","Shows that BERT was significantly undertrained and that longer training, larger batches, more data, and removing the next-sentence-prediction objective yield sizable performance gains without changing the underlying architecture."
8,1910.01108,DistilBERT: A Distilled Version of BERT,"Sanh, Debut, Chaumond, Wolf",2019,NLP,"knowledge distillation, model compression, efficient inference","Uses knowledge distillation during pretraining to compress BERT into a smaller model that retains about 97% of its language-understanding performance while being 40% smaller and 60% faster at inference."
9,1910.10683,Exploring the Limits of Transfer Learning with a Unified Text-to-Text Transformer,"Raffel, Shazeer, Roberts, Lee, Narang, Matena, Zhou, Li, Liu",2019,NLP,"T5, text-to-text, transfer learning","Proposes casting every NLP task as text-to-text and systematically studies pretraining objectives, architectures, and dataset scale, resulting in the T5 model family and the large C4 web-text corpus."
10,2005.11401,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks,"Lewis, Perez, Piktus, Petroni, Karpukhin, Goyal, et al.",2020,NLP,"RAG, retrieval, generation, open-domain QA","Combines a pretrained retriever that fetches relevant documents with a pretrained sequence-to-sequence generator, so the model can condition its answers on retrieved evidence rather than relying only on parameters — the basis of most modern retrieval-augmented chatbots."
11,1409.1556,Very Deep Convolutional Networks for Large-Scale Image Recognition,"Simonyan, Zisserman",2014,Computer Vision,"VGGNet, CNN, image classification","Studies the effect of network depth on accuracy using small 3x3 convolution filters, producing the VGG family of architectures that became a standard backbone for transfer learning in vision."
12,1512.03385,Deep Residual Learning for Image Recognition,"He, Zhang, Ren, Sun",2015,Computer Vision,"ResNet, skip connections, deep networks","Introduces residual (skip) connections that let gradients flow through very deep networks, enabling architectures with over 100 layers to train successfully and substantially improving image classification accuracy."
13,2010.11929,An Image is Worth 16x16 Words: Transformers for Image Recognition at Scale,"Dosovitskiy, Beyer, Kolesnikov, Weissenborn, Zhai, et al.",2020,Computer Vision,"Vision Transformer, ViT, patch embeddings","Applies the Transformer architecture directly to sequences of image patches, showing that with enough pretraining data it can match or beat convolutional networks on image classification without convolutions."
14,1506.02640,"You Only Look Once: Unified, Real-Time Object Detection","Redmon, Divvala, Girshick, Farhadi",2015,Computer Vision,"YOLO, object detection, real-time","Reframes object detection as a single regression problem solved by one neural network pass over the whole image, achieving real-time detection speeds by trading a small amount of accuracy for very high throughput."
15,1505.04597,U-Net: Convolutional Networks for Biomedical Image Segmentation,"Ronneberger, Fischer, Brox",2015,Computer Vision,"segmentation, encoder-decoder, medical imaging","Proposes a symmetric encoder-decoder CNN with skip connections between corresponding layers for precise pixel-level segmentation, which works well even with relatively few labeled training images and remains a standard architecture for image segmentation tasks."
16,2103.00020,Learning Transferable Visual Models From Natural Language Supervision,"Radford, Kim, Hallacy, Ramesh, Goh, Agarwal, Sastry, et al.",2021,Computer Vision,"CLIP, contrastive learning, vision-language","Trains an image encoder and text encoder jointly on 400 million image-caption pairs using a contrastive objective, producing a model that can perform zero-shot image classification just by comparing images to natural-language class descriptions."
17,2006.11239,Denoising Diffusion Probabilistic Models,"Ho, Jain, Abbeel",2020,Computer Vision,"diffusion models, generative modeling, image synthesis","Formulates image generation as gradually removing noise from a signal over many steps, learned via a simple denoising objective, and shows this produces sample quality competitive with GANs while being more stable to train."
18,1406.2661,Generative Adversarial Networks,"Goodfellow, Pouget-Abadie, Mirza, Xu, Warde-Farley, Ozair, Courville, Bengio",2014,Machine Learning,"GAN, generative modeling, adversarial training","Introduces a framework where a generator and discriminator network are trained in a minimax game against each other, so the generator learns to produce increasingly realistic samples, launching the field of adversarial generative modeling."
19,1312.6114,Auto-Encoding Variational Bayes,"Kingma, Welling",2013,Machine Learning,"VAE, variational inference, latent variable models","Proposes the variational autoencoder, which learns a probabilistic latent representation of data by jointly training an encoder and decoder with a variational lower bound, enabling efficient approximate inference and generation."
20,1412.6980,Adam: A Method for Stochastic Optimization,"Kingma, Ba",2014,Machine Learning,"optimizer, adaptive learning rate, gradient descent","Introduces the Adam optimizer, which maintains per-parameter adaptive learning rates using estimates of first and second moments of the gradients, and remains the default optimizer for training most deep neural networks."
21,1502.03167,Batch Normalization: Accelerating Deep Network Training by Reducing Internal Covariate Shift,"Ioffe, Szegedy",2015,Machine Learning,"batch norm, training stability, regularization","Proposes normalizing layer inputs within each mini-batch during training, which stabilizes and accelerates convergence and acts as a mild regularizer, becoming a near-universal component of deep network architectures."
22,1207.0580,Improving Neural Networks by Preventing Co-adaptation of Feature Detectors,"Hinton, Srivastava, Krizhevsky, Sutskever, Salakhutdinov",2012,Machine Learning,"dropout, regularization, overfitting","Introduces dropout, a regularization technique that randomly deactivates a fraction of neurons during each training step, which prevents units from co-adapting and substantially reduces overfitting in large networks."
23,1312.5602,Playing Atari with Deep Reinforcement Learning,"Mnih, Kavukcuoglu, Silver, Graves, Antonoglou, Wierstra, Riedmiller",2013,Reinforcement Learning,"DQN, deep Q-learning, Atari","Combines Q-learning with deep convolutional networks and experience replay to learn control policies directly from raw pixels, achieving human-level performance on several Atari games without hand-crafted features."
24,1707.06347,Proximal Policy Optimization Algorithms,"Schulman, Wolski, Dhariwal, Radford, Klimov",2017,Reinforcement Learning,"PPO, policy gradient, on-policy RL","Proposes a policy-gradient method that clips the objective function to keep policy updates within a safe range, giving much of the stability of trust-region methods with far simpler implementation, and it became a widely used default RL algorithm."
25,1712.01815,Mastering Chess and Shogi by Self-Play with a General Reinforcement Learning Algorithm,"Silver, Hubert, Schrittwieser, Antonoglou, Lai, et al.",2017,Reinforcement Learning,"AlphaZero, self-play, Monte Carlo tree search","Describes AlphaZero, a general reinforcement-learning system that learns to play chess, shogi, and Go purely from self-play, using a deep network combined with Monte Carlo tree search, and it exceeded prior state-of-the-art programs in each game."
26,1609.02907,Semi-Supervised Classification with Graph Convolutional Networks,"Kipf, Welling",2016,Machine Learning,"GCN, graph neural network, node classification","Proposes a scalable layer-wise propagation rule that generalizes convolutions to graph-structured data, enabling efficient semi-supervised node classification and popularizing graph convolutional networks."
27,1706.02216,Inductive Representation Learning on Large Graphs,"Hamilton, Ying, Leskovec",2017,Machine Learning,"GraphSAGE, graph embeddings, inductive learning","Introduces an inductive framework that learns a function to aggregate features from a node's neighborhood, allowing embeddings to be generated for previously unseen nodes and making graph neural networks usable on large, evolving graphs."
28,2001.08361,Scaling Laws for Neural Language Models,"Kaplan, McCandlish, Henighan, Brown, Chess, Child, Gray, Radford, Wu, Amodei",2020,NLP,"scaling laws, compute-optimal training, model size","Empirically shows that language model loss follows smooth power-law relationships with model size, dataset size, and compute, letting researchers predict performance and allocate training budgets before running expensive experiments."
29,2203.15556,Training Compute-Optimal Large Language Models,"Hoffmann, Borgeaud, Mensch, Buchatskaya, Cai, et al.",2022,NLP,"Chinchilla, compute-optimal, scaling laws","Revisits scaling laws and finds that many large language models of the time were undertrained relative to their size; training a smaller model on proportionally more tokens (Chinchilla) matched or beat much larger models at the same compute budget."
30,2201.11903,Chain-of-Thought Prompting Elicits Reasoning in Large Language Models,"Wei, Wang, Schuurmans, Bosma, Ichter, Xia, Chi, Le, Zhou",2022,NLP,"chain of thought, prompting, reasoning","Shows that prompting large language models to produce intermediate reasoning steps before the final answer substantially improves performance on arithmetic, commonsense, and symbolic reasoning tasks, without any fine-tuning."
31,2203.02155,Training Language Models to Follow Instructions with Human Feedback,"Ouyang, Wu, Jiang, Almeida, Wainwright, Mishkin, et al.",2022,NLP,"InstructGPT, RLHF, alignment","Describes fine-tuning GPT-3 using supervised demonstrations and reinforcement learning from human feedback so the model better follows user instructions, producing outputs users preferred over a much larger base model."
32,1512.02325,SSD: Single Shot MultiBox Detector,"Liu, Anguelov, Erhan, Szegedy, Reed, Fu, Berg",2015,Computer Vision,"object detection, single-shot, anchor boxes","Proposes detecting objects at multiple feature-map scales in a single forward pass using predefined anchor boxes, achieving a strong accuracy-speed tradeoff for real-time object detection without a separate region-proposal stage."
33,1703.06870,Mask R-CNN,"He, Gkioxari, Dollar, Girshick",2017,Computer Vision,"instance segmentation, region proposal, object detection","Extends the Faster R-CNN object detector with an additional branch that predicts a segmentation mask for each detected object, unifying object detection and instance segmentation in one efficient framework."
34,1409.4842,Going Deeper with Convolutions,"Szegedy, Liu, Jia, Sermanet, Reed, Anguelov, Erhan, Vanhoucke, Rabinovich",2014,Computer Vision,"GoogLeNet, Inception, efficient architecture","Introduces the Inception module, which applies convolutions of multiple sizes in parallel within a block, allowing the GoogLeNet architecture to go deeper while keeping computational cost low."
35,1905.11946,EfficientNet: Rethinking Model Scaling for Convolutional Neural Networks,"Tan, Le",2019,Computer Vision,"model scaling, compound scaling, efficient architecture","Proposes a compound scaling method that uniformly scales network depth, width, and input resolution together using a single coefficient, producing a family of models that reach higher accuracy with far fewer parameters than prior architectures."
36,2204.06125,Hierarchical Text-Conditional Image Generation with CLIP Latents,"Ramesh, Dhariwal, Nichol, Chu, Chen",2022,Computer Vision,"DALL-E 2, text-to-image, diffusion","Describes a text-to-image system that generates CLIP image embeddings from text captions and then decodes them into images with a diffusion model, producing high-fidelity images that reflect fine-grained textual detail."
37,2112.10752,High-Resolution Image Synthesis with Latent Diffusion Models,"Rombach, Blattmann, Lorenz, Esser, Ommer",2021,Computer Vision,"Stable Diffusion, latent diffusion, efficient generation","Runs the diffusion process in a compressed latent space rather than pixel space, drastically reducing the compute needed for high-resolution image synthesis while preserving quality, forming the basis of Stable Diffusion."
38,2010.02502,Denoising Diffusion Implicit Models,"Song, Meng, Ermon",2020,Machine Learning,"DDIM, diffusion sampling, generative modeling","Proposes a non-Markovian sampling procedure for diffusion models that produces high-quality samples in far fewer steps than standard DDPM sampling, greatly speeding up inference for diffusion-based generative models."
39,2203.13474,PaLM: Scaling Language Modeling with Pathways,"Chowdhery, Narang, Devlin, Bosma, Mishra, et al.",2022,NLP,"PaLM, large language model, scaling","Presents a 540-billion-parameter dense Transformer trained using the Pathways system, showing strong few-shot performance and emergent capabilities on reasoning and multi-step tasks as model scale increases."
40,2302.13971,LLaMA: Open and Efficient Foundation Language Models,"Touvron, Lavril, Izacard, Martinet, Lachaux, et al.",2023,NLP,"LLaMA, open-source LLM, efficient training","Introduces a family of openly released foundation language models trained on publicly available data only, showing that smaller models trained longer on more tokens can match or beat much larger proprietary models on many benchmarks."
41,1508.07909,Neural Machine Translation of Rare Words with Subword Units,"Sennrich, Haddow, Birch",2015,NLP,"BPE, subword tokenization, machine translation","Introduces byte-pair encoding for splitting words into subword units, letting neural translation models handle rare and unseen words by composing them from smaller, frequently seen pieces instead of treating them as unknown tokens."
42,1607.04606,Enriching Word Vectors with Subword Information,"Bojanowski, Grave, Joulin, Mikolov",2016,NLP,"fastText, subword embeddings, morphology","Extends word2vec by representing each word as a bag of character n-grams, so embeddings can be computed even for out-of-vocabulary words and better capture morphological structure, particularly useful for morphologically rich languages."
43,1908.10084,Sentence-BERT: Sentence Embeddings using Siamese BERT-Networks,"Reimers, Gurevych",2019,NLP,"sentence embeddings, siamese networks, semantic similarity","Fine-tunes BERT in a siamese network setup to produce fixed-size sentence embeddings whose cosine similarity reflects semantic similarity, making large-scale semantic search and clustering computationally practical."
44,2005.00341,Longformer: The Long-Document Transformer,"Beltagy, Peters, Cohan",2020,NLP,"long context, sparse attention, efficient transformer","Introduces a sparse local-plus-global attention pattern that scales linearly with sequence length instead of quadratically, allowing Transformers to process much longer documents than standard full self-attention permits."
45,1910.13461,"BART: Denoising Sequence-to-Sequence Pre-training for Natural Language Generation, Translation, and Comprehension","Lewis, Liu, Goyal, Ghazvininejad, Mohamed, Levy, Stoyanov, Zettlemoyer",2019,NLP,"denoising autoencoder, sequence-to-sequence, pretraining","Pretrains a sequence-to-sequence Transformer by corrupting text with an arbitrary noising function and learning to reconstruct the original, yielding a model well suited to both language generation and understanding tasks such as summarization."
46,1912.08777,PEGASUS: Pre-training with Extracted Gap-sentences for Abstractive Summarization,"Zhang, Zhao, Saleh, Liu",2019,NLP,"summarization, gap-sentence pretraining, abstractive","Proposes a pretraining objective that masks and asks the model to regenerate whole important sentences from a document, closely mimicking the summarization task itself and yielding strong performance with fewer fine-tuning examples."
47,2006.13979,wav2vec 2.0: A Framework for Self-Supervised Learning of Speech Representations,"Baevski, Zhou, Mohamed, Auli",2020,Speech,"self-supervised learning, speech recognition, contrastive learning","Learns speech representations directly from raw audio using a contrastive self-supervised objective, drastically reducing the amount of labeled transcribed speech needed to train accurate speech recognition systems."
48,2212.04356,Robust Speech Recognition via Large-Scale Weak Supervision,"Radford, Kim, Xu, Brockman, McLeavey, Sutskever",2022,Speech,"Whisper, speech recognition, weak supervision","Trains a sequence-to-sequence Transformer on 680,000 hours of weakly labeled multilingual audio scraped from the internet, producing a speech recognition and translation model that generalizes well across accents, domains, and languages without fine-tuning."
49,2107.03374,Evaluating Large Language Models Trained on Code,"Chen, Tworek, Jun, Yuan, Pinto, Kaplan, et al.",2021,NLP,"Codex, code generation, program synthesis","Introduces Codex, a GPT model fine-tuned on public source code, and evaluates its ability to generate correct Python functions from natural-language docstrings, showing that large code-trained language models can solve a substantial fraction of programming problems."
50,2112.11446,"Scaling Language Models: Methods, Analysis & Insights from Training Gopher","Rae, Borgeaud, Cai, Millican, Hoffmann, et al.",2021,NLP,"Gopher, scaling, evaluation","Trains and evaluates a family of Transformer language models up to 280 billion parameters across many tasks, analyzing which capabilities improve smoothly with scale and which show little benefit from larger models alone."
